city,offense,address,day,month,year,time,shift,longitude,latitude,weapon
Baltimore,COMMON ASSAULT,1100 BOLTON STREET,25,9,2020,17:03:00,Evening,-76.62264,39.303368,NA
Baltimore,LARCENY,2500 GREENMOUNT AVENUE,25,9,2020,17:11:00,Evening,-76.609406,39.3184,NA
Baltimore,LARCENY,700 DRUID PARK LAKE DRIVE,25,9,2020,11:30:00,Morning,-76.63252,39.31658,NA
Baltimore,AUTO THEFT,4300 FURLEY AVENUE,25,9,2020,18:00:00,Evening,-76.55805,39.3319,NA
Baltimore,LARCENY,2500 GREENMOUNT AVENUE,25,9,2020,17:45:00,Evening,-76.609406,39.3184,NA
Baltimore,LARCENY,2500 NORTH CHARLES STREET,25,9,2020,15:08:00,Noon,-76.61708,39.3182,NA
Baltimore,AUTO THEFT,300 SOMERSET ROAD,25,9,2020,08:00:00,Morning,-76.62808,39.34257,NA
Baltimore,LARCENY,4400 FALLS ROAD,25,9,2020,02:35:00,Night,-76.64009,39.34263,NA
Baltimore,COMMON ASSAULT,1000 WEBB CT,25,9,2020,23:40:00,Night,-76.60353,39.300735,NA
Baltimore,LARCENY,3300 EDMONDSON AVENUE,25,9,2020,00:40:00,Night,-76.673706,39.29394,NA
Baltimore,LARCENY,100 WEST LANVALE STREET,25,9,2020,07:00:00,Morning,-76.621,39.30766,NA
Baltimore,COMMON ASSAULT,3700 SAINT VICTOR STREET,25,9,2020,14:50:00,Noon,-76.59731,39.23324,NA
