city,offense,address,day,month,year,time,shift,longitude,latitude,weapon,sex,age
LACity,THEFT FROM MOTOR VEHICLE - ATTEMPT,13700    FOOTHILL                     BOULEVARD ,8,9,2011,15:05:00,Noon,-118.4317,34.3086,,F,51
LACity,BURGLARY,23000    VANOWEN                      STREET,1,6,2011,20:00:00,Night,-118.6282,34.1937,,M,25
LACity,BATTERY - SIMPLE ASSAULT,6000    YORK                         BOULEVARD ,31,1,2011,01:00:00,Night,-118.1894,34.1181,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,23
LACity,THEFT OF IDENTITY,300 EAST  2ND                          STREET,7,3,2011,14:03:00,Noon,-118.2418,34.0493,,M,33
LACity,BATTERY - SIMPLE ASSAULT,2100 NORTH  GAFFEY                       STREET,11,4,2011,15:00:00,Noon,-118.2934,33.7639,BOTTLE,F,26
LACity,INTIMATE PARTNER - SIMPLE ASSAULT,14300    SYLVAN                       STREET,13,6,2011,23:03:00,Night,-118.4444,34.1847,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,40
LACity,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",600    SAN JULIAN                   STREET,23,4,2011,18:05:00,Evening,-118.2461,34.0428,STICK,M,41
LACity,VIOLATION OF COURT ORDER,1600    205TH                        STREET,7,4,2011,15:03:00,Noon,-118.3066,33.8448,,M,0
LACity,ROBBERY,6000    TUJUNGA                      AVENUE,25,8,2011,17:04:00,Evening,-118.379,34.1794,HAND GUN,M,19
LACity,THEFT OF IDENTITY,7600    BRIGHTON                     AVENUE,1,12,2011,00:00:01,Night,-118.3014,33.9709,,M,24
LACity,THEFT PLAIN - PETTY ($950 & UNDER),BONNIE BRAE,31,8,2011,21:00:00,Night,-118.2736,34.0585,,M,51
LACity,THEFT PLAIN - PETTY ($950 & UNDER),700 SOUTH  FLOWER                       STREET,14,8,2011,01:03:00,Night,-118.2588,34.0487,UNKNOWN WEAPON/OTHER WEAPON,M,41
LACity,VEHICLE - STOLEN,300 EAST  FLORENCE                     AVENUE,21,6,2011,12:00:00,Noon,-118.2695,33.9747,,,0
LACity,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),14100    SYLVAN                       STREET,1,1,2011,08:00:00,Morning,-118.44,34.1847,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,8
LACity,BURGLARY,9400    VAN NUYS                     BOULEVARD ,3,3,2011,09:00:00,Morning,-118.4502,34.2412,,M,38
LACity,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",FLOWER,19,2,2011,22:00:00,Night,-118.2628,34.0444,,M,37
LACity,VANDALISM - MISDEAMEANOR ($399 OR UNDER),3300 WEST  ADAMS                        BOULEVARD ,12,7,2011,22:05:00,Night,-118.3201,34.0327,ROCK/THROWN OBJECT,M,21
LACity,ROBBERY,2600    CRENSHAW                     BOULEVARD ,25,9,2011,11:00:00,Morning,-118.335,34.0326,SEMI-AUTOMATIC PISTOL,M,0
LACity,INTIMATE PARTNER - AGGRAVATED ASSAULT,5000    PURDUE                       AVENUE,7,9,2011,07:01:05,Morning,-118.4053,33.9965,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,38
LACity,BURGLARY,2100 EAST  102ND                        STREET,25,8,2011,01:00:00,Night,-118.2346,33.9439,,M,37
LACity,ROBBERY,5900 SOUTH  MAIN                         STREET,13,2,2011,07:02:00,Morning,-118.2739,33.9873,SEMI-AUTOMATIC PISTOL,F,38
LACity,THEFT OF IDENTITY,2100 WEST  11TH                         STREET,8,8,2011,17:03:00,Evening,-118.2808,34.0503,,M,3
LACity,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),7400    RESEDA                       BOULEVARD ,28,7,2011,17:02:00,Evening,-118.5361,34.2048,,M,0
LACity,THEFT PLAIN - PETTY ($950 & UNDER),1ST                          STREET,3,1,2011,14:00:00,Noon,-118.2198,34.0472,,M,49
LACity,VIOLATION OF COURT ORDER,1900    BELLEVUE                     AVENUE,3,6,2011,14:00:00,Noon,-118.2643,34.072,,M,31
LACity,INTIMATE PARTNER - SIMPLE ASSAULT,3500    WOODCLIFF                    ROAD,25,3,2011,21:00:00,Night,-118.4639,34.1335,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,43
LACity,BURGLARY FROM VEHICLE,10700    BLOOMFIELD                   STREET,3,4,2011,21:01:05,Night,-118.3636,34.1496,,M,36
LACity,BURGLARY FROM VEHICLE,SOUTH AN MARINO,21,9,2011,20:03:00,Night,-118.3074,34.0545,,F,27
LACity,THEFT PLAIN - PETTY ($950 & UNDER),VANOWEN                      STREET,28,6,2011,14:03:00,Noon,-118.536,34.1939,,M,25
LACity,THEFT OF IDENTITY,5200    LAUREL CANYON                BOULEVARD ,1,8,2011,21:00:04,Night,-118.3965,34.1649,,F,51
LACity,VIOLATION OF COURT ORDER,6500    RUBY                         STREET,11,6,2011,10:03:00,Morning,-118.1791,34.1159,,M,31
LACity,BATTERY - SIMPLE ASSAULT,87TH                         STREET,13,10,2011,23:00:00,Night,-118.2695,33.9591,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,28
LACity,BURGLARY FROM VEHICLE,LAUREL CANYON                BOULEVARD ,30,6,2011,22:00:00,Night,-118.3965,34.2085,,M,20
LACity,BURGLARY,800 EAST  112TH                        STREET,1,3,2011,07:01:05,Morning,-118.2603,33.9328,,M,49
LACity,VEHICLE - STOLEN,21ST                         STREET,18,10,2011,14:00:00,Noon,-118.3236,34.038,,,0
LACity,THEFT PLAIN - PETTY ($950 & UNDER),5400    VESPER                       AVENUE,31,5,2011,09:05:00,Morning,-118.4509,34.1685,,M,31
LACity,BURGLARY FROM VEHICLE,23800    DEL CERRO                    CI,17,12,2011,17:05:00,Evening,-118.6432,34.2075,UNKNOWN WEAPON/OTHER WEAPON,F,16
LACity,BATTERY - SIMPLE ASSAULT,126TH,23,6,2011,01:03:00,Night,-118.283,33.9188,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,19
LACity,BATTERY - SIMPLE ASSAULT,16800    VANOWEN                      STREET,25,1,2011,16:00:00,Evening,-118.4989,34.1939,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,28
LACity,BATTERY - SIMPLE ASSAULT,3200 WEST  ADAMS                        BOULEVARD ,26,7,2011,20:04:05,Night,-118.3189,34.0327,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,62
LACity,VEHICLE - STOLEN,15200    VICTORY                      BOULEVARD ,21,9,2011,19:00:00,Evening,-118.464,34.1867,,,0
LACity,BURGLARY,4800    PLACIDIA                     AVENUE,16,11,2011,09:00:00,Morning,-118.3561,34.1577,,M,64
LACity,BATTERY - SIMPLE ASSAULT,13300    BRADLEY                      AVENUE,14,8,2011,18:03:00,Evening,-118.4697,34.3131,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",F,55
LACity,VIOLATION OF RESTRAINING ORDER,4100    WOODLAWN                     AVENUE,22,5,2011,16:04:05,Evening,-118.2728,34.0092,,F,37
LACity,BATTERY - SIMPLE ASSAULT,1500    YOSEMITE                     DRIVE,16,1,2011,14:03:00,Noon,-118.1981,34.1328,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",M,56
LACity,BURGLARY,7800    ZELZAH                       AVENUE,2,2,2011,13:04:05,Noon,-118.5225,34.2121,,F,65
