city,Date,Block,Primary Type,Year,Latitude,Longitude
Chicago,07/19/2011 12:40:00 AM,035XX W WALNUT ST,BATTERY,2011,41.885494244,-87.714820859
Chicago,03/03/2011 05:00:00 PM,022XX S HALSTED ST,BURGLARY,2011,41.852336791,-87.646487314
Chicago,03/03/2011 06:30:00 PM,022XX S HALSTED ST,BURGLARY,2011,41.852336791,-87.646487314
Chicago,06/01/2011 01:00:00 PM,030XX N ELBRIDGE AVE,CRIMINAL SEXUAL ASSAULT,2011,,
Chicago,03/16/2011 09:00:00 AM,012XX W 19TH ST,DECEPTIVE PRACTICE,2011,,
Chicago,11/09/2011 03:45:00 PM,052XX W KAMERLING AVE,DECEPTIVE PRACTICE,2011,,
Chicago,01/01/2011 12:00:00 AM,036XX S ROCKWELL ST,CRIM SEXUAL ASSAULT,2011,,
Chicago,03/11/2011 12:00:00 AM,027XX W 22ND PL,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,01/01/2011 12:01:00 AM,027XX W WILCOX ST,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,07/19/2011 04:45:00 AM,077XX S ABERDEEN ST,BURGLARY,2011,41.75360759,-87.651392701
Chicago,01/05/2011 12:01:00 AM,024XX S HOMAN AVE,OFFENSE INVOLVING CHILDREN,2011,41.84734497,-87.709995101
Chicago,12/10/2011 07:23:00 PM,078XX S AVALON AVE,DECEPTIVE PRACTICE,2011,,
Chicago,02/07/2011 03:30:00 PM,0000X E 14TH PL,DECEPTIVE PRACTICE,2011,,
Chicago,01/06/2011 07:38:00 PM,050XX N PARKSIDE AVE,DECEPTIVE PRACTICE,2011,,
Chicago,06/13/2011 01:30:00 AM,013XX N LAWNDALE AVE,OFFENSE INVOLVING CHILDREN,2011,41.905006653,-87.719070176
Chicago,02/18/2011 02:05:00 PM,099XX S PRINCETON AVE,DECEPTIVE PRACTICE,2011,,
Chicago,01/01/2011 12:10:00 AM,024XX W POLK ST,DECEPTIVE PRACTICE,2011,,
Chicago,01/01/2011 12:00:00 AM,021XX N KARLOV AVE,OFFENSE INVOLVING CHILDREN,2011,41.919777091,-87.729080821
Chicago,01/01/2011 12:01:00 AM,075XX S COLFAX AVE,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,10/05/2011 12:00:00 AM,075XX N RIDGE BLVD,DECEPTIVE PRACTICE,2011,,
Chicago,12/03/2011 12:00:00 AM,054XX W FULLERTON AVE,OFFENSE INVOLVING CHILDREN,2011,41.92402213,-87.762821497
Chicago,08/26/2011 09:45:00 PM,048XX W SCHOOL ST,INTERFERENCE WITH PUBLIC OFFICER,2011,41.940637986,-87.748015239
Chicago,01/19/2011 12:00:00 PM,065XX S EBERHART AVE,DECEPTIVE PRACTICE,2011,,
Chicago,11/27/2011 12:00:00 AM,036XX S WINCHESTER AVE,OFFENSE INVOLVING CHILDREN,2011,,
Chicago,12/01/2011 10:00:00 AM,031XX W WARREN BLVD,DECEPTIVE PRACTICE,2011,,
Chicago,08/24/2011 09:00:00 AM,0000X N MENARD AVE,DECEPTIVE PRACTICE,2011,,
Chicago,02/01/2011 02:32:00 PM,022XX W BELDEN AVE,DECEPTIVE PRACTICE,2011,,
Chicago,10/01/2011 10:55:00 AM,071XX S DOBSON AVE,DECEPTIVE PRACTICE,2011,,
Chicago,10/03/2011 03:41:00 PM,007XX W GORDON TER,DECEPTIVE PRACTICE,2011,,
