city,DATE OCC,TIME OCC,Crm Cd Desc,Vict Age,Vict Sex,Weapon Desc,LOCATION,LAT,LON
LACity,03/12/2010 12:00:00 AM,1520,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,M,,7TH,34.0499,-118.2614
LACity,03/13/2010 12:00:00 AM,1615,BATTERY - SIMPLE ASSAULT,39,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",7TH                          ST,34.0452,-118.2534
LACity,03/14/2010 12:00:00 AM,800,ATTEMPTED ROBBERY,50,M,FOLDING KNIFE,SAN PEDRO                    ST,34.0407,-118.2468
LACity,03/12/2010 12:00:00 AM,1700,CRIMINAL THREATS - NO WEAPON DISPLAYED,54,M,VERBAL THREAT,600 W  5TH                          ST,34.0502,-118.25399999999999
LACity,03/14/2010 12:00:00 AM,2000,BRANDISH WEAPON,76,M,OTHER KNIFE,500 S  SAN PEDRO                    ST,34.0442,-118.2439
LACity,03/14/2010 12:00:00 AM,2050,BATTERY - SIMPLE ASSAULT,16,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",600 W  9TH                          ST,34.0451,-118.2604
LACity,03/15/2010 12:00:00 AM,1,INTIMATE PARTNER - SIMPLE ASSAULT,21,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",700 S  SAN PEDRO                    ST,34.0407,-118.2468
LACity,03/14/2010 12:00:00 AM,2305,VANDALISM - MISDEAMEANOR ($399 OR UNDER),22,M,,6TH                          ST,34.0384,-118.2305
LACity,03/16/2010 12:00:00 AM,1650,BATTERY - SIMPLE ASSAULT,57,F,UNKNOWN WEAPON/OTHER WEAPON,5TH                          ST,34.0446,-118.245
LACity,03/18/2010 12:00:00 AM,250,VANDALISM - MISDEAMEANOR ($399 OR UNDER),18,F,,300 E  7TH                          ST,34.0424,-118.2493
LACity,03/18/2010 12:00:00 AM,15,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34,M,MACE/PEPPER SPRAY,400 S  MAIN                         ST,34.0482,-118.2472
LACity,03/18/2010 12:00:00 AM,15,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",27,F,MACE/PEPPER SPRAY,400 S  MAIN                         ST,34.0482,-118.2472
LACity,03/19/2010 12:00:00 AM,1000,BATTERY - SIMPLE ASSAULT,32,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",800 E  8TH                          ST,34.0371,-118.2475
LACity,03/19/2010 12:00:00 AM,1140,ROBBERY,33,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5TH,34.0446,-118.245
LACity,03/20/2010 12:00:00 AM,1215,THROWING OBJECT AT MOVING VEHICLE,26,M,,CESAR E CHAVEZ,34.0627,-118.2463
LACity,03/21/2010 12:00:00 AM,320,BURGLARY FROM VEHICLE,48,M,,BARTLETT,34.0635,-118.2458
LACity,03/21/2010 12:00:00 AM,1000,OTHER MISCELLANEOUS CRIME,0,M,,WAVERLY,34.0917,-118.2741
LACity,03/21/2010 12:00:00 AM,1315,BATTERY - SIMPLE ASSAULT,65,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",700 S  BROADWAY,34.0452,-118.2534
LACity,03/22/2010 12:00:00 AM,1330,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),23,M,,700 W  7TH                          ST,34.048,-118.2577
LACity,03/19/2010 12:00:00 AM,1730,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,5,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",1800 S  MAIN                         ST,34.0317,-118.2641
LACity,03/22/2010 12:00:00 AM,1915,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",49,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",4TH                          ST,34.0516,-118.2526
LACity,03/22/2010 12:00:00 AM,2030,THEFT PLAIN - PETTY ($950 & UNDER),23,M,,700 W  7TH                          ST,34.048,-118.2577
LACity,03/23/2010 12:00:00 AM,125,BURGLARY,57,M,,200 W  WASHINGTON                   BL,34.032,-118.2667
LACity,03/23/2010 12:00:00 AM,230,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",62,M,,1200    INNES                        AV,34.0717,-118.2493
LACity,03/24/2010 12:00:00 AM,2015,BATTERY - SIMPLE ASSAULT,58,M,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",5TH,34.0446,-118.245
LACity,03/25/2010 12:00:00 AM,240,OTHER MISCELLANEOUS CRIME,32,F,,900    GEORGIA                      ST,34.0475,-118.2657
LACity,03/27/2010 12:00:00 AM,530,INTIMATE PARTNER - SIMPLE ASSAULT,32,F,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",900 W  OLYMPIC                      BL,34.0454,-118.2657
LACity,03/27/2010 12:00:00 AM,1140,BATTERY - SIMPLE ASSAULT,56,M,MACE/PEPPER SPRAY,600 S  HILL                         ST,34.0474,-118.2531
LACity,03/26/2010 12:00:00 AM,1500,OTHER MISCELLANEOUS CRIME,46,M,,100 E  3RD                          ST,34.0496,-118.2458
LACity,03/28/2010 12:00:00 AM,55,SHOTS FIRED AT INHABITED DWELLING,18,F,HAND GUN,500 E  4TH                          ST,34.0449,-118.2415
LACity,03/28/2010 12:00:00 AM,100,OTHER MISCELLANEOUS CRIME,45,M,,800 W  OLYMPIC                      BL,34.045,-118.264
LACity,03/29/2010 12:00:00 AM,2320,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,,SAN PEDRO                    ST,34.0373,-118.2503
LACity,03/31/2010 12:00:00 AM,1515,CRIMINAL THREATS - NO WEAPON DISPLAYED,59,M,VERBAL THREAT,700    ALPINE                       ST,34.0635,-118.2426
LACity,04/02/2010 12:00:00 AM,2230,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),23,M,,HILL,34.0416,-118.2584
LACity,04/03/2010 12:00:00 AM,1,VANDALISM - MISDEAMEANOR ($399 OR UNDER),31,F,,COLLEGE,34.0644,-118.2387
