city,X,Y,Geocode_Street,OccurredFrom_Time,OccurredFrom_Timestamp,Statute_Text,Weapon_Description
Rochester,-77.65730578731491,43.151941573076,266 BUFFALO ROAD,509,2020/06/02 05:09:00+00,Robbery,Firearm
Rochester,-77.56371758253509,43.1824908648081,170 WARING ROAD,2030,2020/04/29 20:30:00+00,Robbery,Personal Weapons
Rochester,-77.5977519029841,43.154020610386,43 S UNION ST,1600,2020/05/22 16:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.59562823387891,43.1389539205421,985 S CLINTON AVE,1150,2020/07/20 11:50:00+00,Aggravated Assault,Knife/Cutting Instrument
Rochester,-77.6480166636223,43.190210092162296,636 MAGEE AVE,2300,2020/07/28 23:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5980087833515,43.15359362722079,53 S UNION ST,1900,2020/05/27 19:00:00+00,Motor Vehicle Theft,* No Weapon Specified *
Rochester,-77.6505940033081,43.131592264214106,670 THURSTON AVE,1300,2020/05/29 13:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.5652997799091,43.1503499248813,1350 UNIVERSITY AVE,1400,2020/07/28 14:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.63710613631459,43.199943927531,380 W RIDGE ROAD,129,2020/05/24 01:29:00+00,Aggravated Assault,Blunt Object
Rochester,-77.597496936659,43.1846459275925,66 SOBIESKI ST,300,2020/05/26 03:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.58039354622,43.17810339680899,341 FERNWOOD AVE,1640,2020/05/27 16:40:00+00,Larceny,* No Weapon Specified *
Rochester,-77.60125636296921,43.1566180637603,111 EAST AVE,1800,2020/05/18 18:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.57946801720541,43.1400842472244,60 BELMONT ST,2130,2020/05/19 21:30:00+00,Burglary,* No Weapon Specified *
Rochester,-77.61351047632441,43.181504805523396,1210 N CLINTON AVE,1530,2020/07/25 15:30:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6500134010706,43.1713315871064,320 AVERY ST,2300,2020/07/26 23:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6358659851725,43.185123459257206,167 BIRR ST,1200,2020/05/09 12:00:00+00,Burglary,* No Weapon Specified *
Rochester,-77.6077963856703,43.1581773149705,72 MORTIMER ST,1400,2020/05/21 14:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.6309951544592,43.195878873985606,135 E RIDGE ROAD,1830,2020/05/15 18:30:00+00,Motor Vehicle Theft,* No Weapon Specified *
Rochester,-77.60319696954221,43.1865282461381,747 NORTON ST,1128,2020/07/13 11:28:00+00,Larceny,* No Weapon Specified *
Rochester,-77.60697629146479,43.1682281897527,102 CHATHAM GARDENS,600,2020/07/27 06:00:00+00,Motor Vehicle Theft,* No Weapon Specified *
Rochester,-77.6364882471666,43.20195769032579,301 EASTMAN AVE,1300,2020/05/27 13:00:00+00,Larceny,* No Weapon Specified *
Rochester,-77.61222266876929,43.1221940523934,1111 ELMWOOD AVE,1200,2020/05/22 12:00:00+00,Larceny,* No Weapon Specified *
